date,action,coin,price,sentiment,cash,btc_holdings,eth_holdings,portfolio_value
2024-03-07,sell,btc,66925.484375,82.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-07,sell,eth,3874.34765625,82.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-06,sell,btc,66106.8046875,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-06,sell,eth,3819.226318359375,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-05,sell,btc,63801.19921875,90.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-05,sell,eth,3554.964599609375,90.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-04,sell,btc,68330.4140625,82.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-04,sell,eth,3630.433837890625,82.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-03,sell,btc,63167.37109375,83.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-03,sell,eth,3490.99365234375,83.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-02,sell,btc,62029.84765625,80.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-02,sell,eth,3422.0498046875,80.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-01,sell,btc,62440.6328125,80.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-03-01,sell,eth,3435.053955078125,80.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-29,sell,btc,61198.3828125,80.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-29,sell,eth,3341.919677734375,80.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-28,sell,btc,62504.7890625,82.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-28,sell,eth,3385.703857421875,82.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-27,sell,btc,57085.37109375,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-27,sell,eth,3244.519287109375,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-23,sell,btc,50731.94921875,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-23,sell,eth,2921.658203125,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-21,sell,btc,51839.1796875,78.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-21,sell,eth,2970.35546875,78.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-19,sell,btc,51779.14453125,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-19,sell,eth,2943.57470703125,75.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-17,sell,btc,51662.99609375,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-17,sell,eth,2786.672607421875,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-13,sell,btc,49742.44140625,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-02-13,sell,eth,2642.185302734375,79.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-01-11,sell,btc,46368.5859375,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-01-11,sell,eth,2619.619140625,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-01-09,sell,btc,46139.73046875,76.0,13941.86781010572,0.0,0.0,13941.86781010572
2024-01-09,sell,eth,2344.8271484375,76.0,13941.86781010572,0.0,0.0,13941.86781010572
